#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   594.0           3.9785E+00              3.9785E+00
   595.0           3.9797E+00              3.9797E+00
   596.0           3.9811E+00              3.9811E+00
   597.0           3.9823E+00              3.9823E+00
   598.0           3.9836E+00              3.9835E+00
   599.0           3.9848E+00              3.9848E+00
   600.0           3.9860E+00              3.9860E+00
   601.0           3.9874E+00              3.9874E+00
   602.0           3.9886E+00              3.9886E+00
   603.0           3.9899E+00              3.9898E+00
   604.0           3.9911E+00              3.9911E+00
   605.0           3.9923E+00              3.9923E+00
   606.0           3.9937E+00              3.9937E+00
   607.0           3.9949E+00              3.9949E+00
   608.0           3.9962E+00              3.9961E+00
   609.0           3.9974E+00              3.9974E+00
   610.0           3.9986E+00              3.9986E+00
   611.0           4.0000E+00              4.0000E+00
   612.0           4.0012E+00              4.0012E+00
   613.0           4.0025E+00              4.0025E+00
   614.0           4.0037E+00              4.0037E+00
   615.0           4.0050E+00              4.0049E+00
   616.0           4.0063E+00              4.0063E+00
   617.0           4.0075E+00              4.0075E+00
   618.0           4.0088E+00              4.0088E+00
   619.0           4.0100E+00              4.0100E+00
   620.0           4.0113E+00              4.0113E+00
   621.0           4.0126E+00              4.0126E+00
   622.0           4.0139E+00              4.0138E+00
   623.0           4.0151E+00              4.0151E+00
   624.0           4.0163E+00              4.0163E+00
   625.0           4.0176E+00              4.0176E+00
   626.0           4.0189E+00              4.0189E+00
   627.0           4.0202E+00              4.0202E+00
   628.0           4.0214E+00              4.0214E+00
   629.0           4.0227E+00              4.0226E+00
   630.0           4.0239E+00              4.0239E+00
   631.0           4.0252E+00              4.0252E+00
   632.0           4.0265E+00              4.0265E+00
   633.0           4.0277E+00              4.0277E+00
   634.0           4.0290E+00              4.0290E+00
   635.0           4.0302E+00              4.0302E+00
   636.0           4.0315E+00              4.0315E+00
   637.0           4.0328E+00              4.0328E+00
   638.0           4.0340E+00              4.0340E+00
   639.0           4.0353E+00              4.0353E+00
   640.0           4.0365E+00              4.0365E+00
   641.0           4.0378E+00              4.0378E+00
   642.0           4.0391E+00              4.0391E+00
   643.0           4.0403E+00              4.0403E+00
   644.0           4.0416E+00              4.0415E+00
   645.0           4.0428E+00              4.0428E+00
   646.0           4.0682E+00              4.0681E+00
   647.0           4.0991E+00              4.0987E+00
   648.0           4.1301E+00              4.1291E+00
   649.0           4.1610E+00              4.1592E+00
   650.0           4.1919E+00              4.1891E+00
