#ndep: 2897
#depth (km)   Vsh_arithmetic (km/s)   Vsh_geometric (km/s)
   425.0           5.0507E+00              5.0504E+00
   426.0           5.0534E+00              5.0530E+00
   427.0           5.0559E+00              5.0555E+00
   428.0           5.0583E+00              5.0580E+00
   429.0           5.0608E+00              5.0605E+00
   430.0           5.0633E+00              5.0630E+00
   431.0           5.0659E+00              5.0655E+00
   432.0           5.0683E+00              5.0680E+00
   433.0           5.0707E+00              5.0704E+00
   434.0           5.0731E+00              5.0728E+00
   435.0           5.0755E+00              5.0752E+00
   436.0           5.0781E+00              5.0777E+00
   437.0           5.0804E+00              5.0801E+00
   438.0           5.0828E+00              5.0824E+00
   439.0           5.0851E+00              5.0847E+00
   440.0           5.0875E+00              5.0871E+00
   441.0           5.0899E+00              5.0895E+00
   442.0           5.0922E+00              5.0918E+00
   443.0           5.0945E+00              5.0941E+00
   444.0           5.0968E+00              5.0964E+00
   445.0           5.0991E+00              5.0987E+00
   446.0           5.1015E+00              5.1011E+00
   447.0           5.1037E+00              5.1033E+00
   448.0           5.1059E+00              5.1056E+00
   449.0           5.1082E+00              5.1078E+00
   450.0           5.1104E+00              5.1100E+00
   451.0           5.1127E+00              5.1124E+00
   452.0           5.1149E+00              5.1145E+00
   453.0           5.1171E+00              5.1167E+00
   454.0           5.1193E+00              5.1189E+00
   455.0           5.1214E+00              5.1211E+00
   456.0           5.1237E+00              5.1234E+00
   457.0           5.1259E+00              5.1255E+00
   458.0           5.1280E+00              5.1276E+00
   459.0           5.1301E+00              5.1298E+00
   460.0           5.1323E+00              5.1319E+00
   461.0           5.1345E+00              5.1342E+00
   462.0           5.1366E+00              5.1363E+00
   463.0           5.1387E+00              5.1384E+00
   464.0           5.1408E+00              5.1404E+00
   465.0           5.1429E+00              5.1425E+00
   466.0           5.1451E+00              5.1448E+00
   467.0           5.1472E+00              5.1468E+00
   468.0           5.1492E+00              5.1489E+00
   469.0           5.1513E+00              5.1509E+00
   470.0           5.1533E+00              5.1530E+00
   471.0           5.1555E+00              5.1552E+00
   472.0           5.1576E+00              5.1572E+00
   473.0           5.1596E+00              5.1593E+00
   474.0           5.1616E+00              5.1613E+00
   475.0           5.1637E+00              5.1633E+00
   476.0           5.1658E+00              5.1655E+00
   477.0           5.1679E+00              5.1675E+00
   478.0           5.1699E+00              5.1695E+00
   479.0           5.1719E+00              5.1716E+00
   480.0           5.1739E+00              5.1736E+00
   481.0           5.1761E+00              5.1757E+00
   482.0           5.1781E+00              5.1778E+00
   483.0           5.1801E+00              5.1798E+00
   484.0           5.1821E+00              5.1818E+00
   485.0           5.1841E+00              5.1838E+00
   486.0           5.1863E+00              5.1859E+00
   487.0           5.1883E+00              5.1880E+00
   488.0           5.1903E+00              5.1900E+00
   489.0           5.1923E+00              5.1920E+00
   490.0           5.1943E+00              5.1940E+00
   491.0           5.1965E+00              5.1962E+00
   492.0           5.1985E+00              5.1982E+00
   493.0           5.2005E+00              5.2002E+00
   494.0           5.2026E+00              5.2023E+00
   495.0           5.2046E+00              5.2043E+00
   496.0           5.2068E+00              5.2065E+00
   497.0           5.2089E+00              5.2085E+00
   498.0           5.2109E+00              5.2106E+00
   499.0           5.2130E+00              5.2127E+00
   500.0           5.2150E+00              5.2147E+00
   501.0           5.2172E+00              5.2169E+00
   502.0           5.2193E+00              5.2190E+00
   503.0           5.2214E+00              5.2211E+00
   504.0           5.2235E+00              5.2232E+00
   505.0           5.2256E+00              5.2253E+00
   506.0           5.2278E+00              5.2275E+00
   507.0           5.2299E+00              5.2296E+00
   508.0           5.2320E+00              5.2317E+00
   509.0           5.2342E+00              5.2339E+00
   510.0           5.2363E+00              5.2360E+00
   511.0           5.2386E+00              5.2383E+00
   512.0           5.2407E+00              5.2404E+00
   513.0           5.2428E+00              5.2425E+00
   514.0           5.2450E+00              5.2447E+00
   515.0           5.2471E+00              5.2468E+00
   516.0           5.2494E+00              5.2491E+00
   517.0           5.2516E+00              5.2513E+00
   518.0           5.2538E+00              5.2535E+00
   519.0           5.2560E+00              5.2557E+00
   520.0           5.2582E+00              5.2578E+00
   521.0           5.2605E+00              5.2602E+00
   522.0           5.2627E+00              5.2624E+00
   523.0           5.2649E+00              5.2646E+00
   524.0           5.2671E+00              5.2668E+00
   525.0           5.2693E+00              5.2690E+00
   526.0           5.2717E+00              5.2713E+00
   527.0           5.2739E+00              5.2736E+00
   528.0           5.2761E+00              5.2758E+00
   529.0           5.2783E+00              5.2780E+00
   530.0           5.2805E+00              5.2802E+00
   531.0           5.2829E+00              5.2826E+00
   532.0           5.2851E+00              5.2848E+00
   533.0           5.2873E+00              5.2870E+00
   534.0           5.2896E+00              5.2892E+00
   535.0           5.2918E+00              5.2915E+00
   536.0           5.2942E+00              5.2938E+00
   537.0           5.2964E+00              5.2961E+00
   538.0           5.2986E+00              5.2983E+00
   539.0           5.3009E+00              5.3005E+00
   540.0           5.3031E+00              5.3028E+00
   541.0           5.3055E+00              5.3052E+00
   542.0           5.3077E+00              5.3074E+00
   543.0           5.3100E+00              5.3097E+00
   544.0           5.3122E+00              5.3119E+00
   545.0           5.3145E+00              5.3142E+00
   546.0           5.3169E+00              5.3166E+00
   547.0           5.3191E+00              5.3188E+00
